sep=,
From: 2023-03-16,Store: googleplay,Cid: 219676,To: 2024-10-16,Ext_id: co.billpoint.app
Submission date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Reply Delta,Developer Reply,User,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link,Device Name,VersionCode,OS
2024-09-10T14:41:20+00:00,co.billpoint.app,,us,en,,Aja darius,4,,"Transparent and reliable, but their data plans is very expensive like mad 😡",,,,,,,,,2024-09-11T18:44:59,Pricing,Monetization,Mixed,,,,,https://appfollow.io/gp/92092/review/5892778557?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/723078?review_id=5892778557,,,
2024-09-10T10:46:58+00:00,co.billpoint.app,,us,en,,Declan O'Brien,1,,the app is nonsense zero,,,,,,,,,2024-09-11T18:44:59,Offensive,Report a Concern,Negative,,,,,https://appfollow.io/gp/92092/review/5892778558?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/723078?review_id=5892778558,,,
2024-09-10T07:43:18+00:00,co.billpoint.app,,us,en,,Glory Eliaku,1,,I didn't enjoy it,,,,,,,,,2024-09-11T18:44:59,,,Negative,,,,,https://appfollow.io/gp/92092/review/5892778559?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/723078?review_id=5892778559,,,
2024-09-09T13:10:57+00:00,co.billpoint.app,,us,en,,Abah MOSES MONDAY,1,,Williams u have to be careful with the way u frustrating me on this your nonsense app.. Wetin dey sub self na by force to own an app. As u don make it no use your own spoil another person own Abeg. Your app no dey work and your customer service na the worst.,,,,,,,,,2024-09-11T18:44:59,Offensive,Report a Concern,Negative,,,,,https://appfollow.io/gp/92092/review/5892778560?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/723078?review_id=5892778560,,,
2024-09-08T21:07:17+00:00,co.billpoint.app,,us,en,,Olajide Oluwasanya,1,,Their customer service is bad and very sluggish... Well I can't blame them sha igbo company 😂,,,,,,,,,2024-09-11T18:44:59,Customer Service,User Feedback,Negative,,,,,https://appfollow.io/gp/92092/review/5892778561?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/723078?review_id=5892778561,,,
2024-09-08T10:44:19+00:00,co.billpoint.app,,us,en,,NECHI ALESSANDRA CHIDIMMA,1,,A nonsense app credited my wallet to buy data and it's still pending for days need improvement .,,,,,,,,,2024-09-11T18:44:59,"Doesn't Work,Offensive,Payment Issues","Bugs,Report a Concern",Negative,,,,,https://appfollow.io/gp/92092/review/5892778562?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/723078?review_id=5892778562,,,
2024-09-07T19:34:24+00:00,co.billpoint.app,,us,en,,Ele Chukwuemeka Anthony,5,,very good for business people,,,,,,,,,2024-09-11T18:44:59,,,Positive,,,,,https://appfollow.io/gp/92092/review/5892778563?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/723078?review_id=5892778563,,,
2024-09-07T15:56:20+00:00,co.billpoint.app,,us,,,NELSON Bim,1,,Good sha,,,,,,,,,2024-09-11T18:44:59,,,,,,,,https://appfollow.io/gp/92092/review/5892778564?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/723078?review_id=5892778564,,,
2024-09-07T13:01:46+00:00,co.billpoint.app,,us,en,,Christian Chris,5,,Weather correct 💯 or not I love this app,,,,,,,,,2024-09-11T18:44:59,,,Positive,,,,,https://appfollow.io/gp/92092/review/5892778565?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/723078?review_id=5892778565,,,
2024-09-07T09:29:36+00:00,co.billpoint.app,,us,en,,Amaechi Nwadike,1,,it's the best ❤️,,,,,,,,,2024-09-11T18:44:59,,,Positive,,,,,https://appfollow.io/gp/92092/review/5892778566?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/723078?review_id=5892778566,,,
